time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
191.0,191,0,0,3,15,7417.957870411329,7417.957870411329,0.0
192.0,192,0,0,3,15,7421.027172312169,7421.027172312169,0.0
193.0,193,0,0,3,15,7427.999518935066,7427.999518935066,0.0
194.0,194,0,0,3,15,7435.852172154074,7435.852172154074,0.0
195.0,195,0,0,3,15,7439.85620571105,7439.85620571105,0.0
196.0,196,0,0,2,15,7444.114384934191,7444.114384934191,0.0
197.0,197,0,0,2,15,7449.301127861171,7449.301127861171,0.0
198.0,198,0,0,2,15,7452.478078291618,7452.478078291618,0.0
199.0,199,0,0,2,15,7458.989385293744,7458.989385293744,0.0
200.0,200,0,0,2,15,7463.896211197459,7463.896211197459,0.0
201.0,201,0,0,2,15,7468.458057637346,7468.458057637346,0.0
202.0,202,0,0,2,15,7468.458057637346,7468.458057637346,0.0
203.0,203,0,0,2,15,7470.077090697252,7470.077090697252,0.0
204.0,204,0,0,2,15,7479.405948904165,7479.405948904165,0.0
205.0,205,0,0,2,15,7481.13303150803,7481.13303150803,0.0
206.0,206,0,0,2,15,7486.53000814059,7486.53000814059,0.0
207.0,207,0,0,2,15,7491.272539844518,7491.272539844518,0.0
208.0,208,0,0,2,15,7491.272539844518,7491.272539844518,0.0
209.0,209,0,0,2,15,7500.831492532482,7500.831492532482,0.0
210.0,210,0,0,2,15,7500.831492532482,7500.831492532482,0.0
211.0,211,0,0,2,15,7507.363111710283,7507.363111710283,0.0
212.0,212,0,0,2,15,7510.598552179741,7510.598552179741,0.0
213.0,213,0,0,2,15,7512.915966907423,7512.915966907423,0.0
214.0,214,0,0,2,15,7520.109703012828,7520.109703012828,0.0
215.0,215,0,0,2,15,7526.283666198227,7526.283666198227,0.0
216.0,216,0,0,2,15,7528.991552346506,7528.991552346506,0.0
217.0,217,0,0,2,15,7533.854060187631,7533.854060187631,0.0
218.0,218,0,0,2,15,7537.865425565328,7537.865425565328,0.0
219.0,219,0,0,2,15,7541.948511502275,7541.948511502275,0.0
220.0,220,0,0,2,15,7547.905209767043,7547.905209767043,0.0
221.0,221,0,0,2,15,7551.765918854061,7551.765918854061,0.0
222.0,222,0,0,2,15,7551.765918854061,7551.765918854061,0.0
223.0,223,0,0,2,15,7553.336429211632,7553.336429211632,0.0
224.0,224,0,0,2,15,7556.694882226603,7556.694882226603,0.0
225.0,225,0,0,2,15,7563.653313164411,7563.653313164411,0.0
226.0,226,0,0,2,15,7568.013603794974,7568.013603794974,0.0
227.0,227,0,0,2,15,7574.858490067628,7574.858490067628,0.0
228.0,228,0,0,2,15,7578.596727979057,7578.596727979057,0.0
229.0,229,0,0,2,15,7580.122779178282,7580.122779178282,0.0
230.0,230,0,0,2,15,7583.661182086873,7583.661182086873,0.0
231.0,231,0,0,2,15,7585.787093780178,7585.787093780178,0.0
232.0,232,0,0,2,15,7593.247137823137,7593.247137823137,0.0
233.0,233,0,0,2,15,7597.773104698689,7597.773104698689,0.0
234.0,234,0,0,2,15,7604.070857378403,7604.070857378403,0.0
235.0,235,0,0,2,15,7606.228503697678,7606.228503697678,0.0
236.0,236,0,0,2,15,7609.107895162822,7609.107895162822,0.0
237.0,237,0,0,2,15,7615.482897929666,7615.482897929666,0.0
238.0,238,0,0,2,15,7619.421722915467,7619.421722915467,0.0
239.0,239,0,0,2,15,7619.421722915467,7619.421722915467,0.0
240.0,240,0,0,2,15,7623.679615829145,7623.679615829145,0.0
241.0,241,0,0,2,15,7628.994298692312,7628.994298692312,0.0
242.0,242,0,0,2,15,7633.209900610205,7633.209900610205,0.0
243.0,243,0,0,2,15,7637.312504909579,7637.312504909579,0.0
244.0,244,0,0,2,15,7642.236569181386,7642.236569181386,0.0
